,content
0,Thông tin mới về sức khỏe 3 bệnh nhân mắc COVID-19 nặng nhất Việt Nam  https://ift.tt/3aykdoY  pic.twitter.com/W3uO96ITwE
1,"PHÁT TRIỂN BẢN THÂN GIỮA ĐẠI DỊCH COVID 19 - SR. MARIA NGUYỄN THỊ HỒNG QUẾ, OP.  https://www.denmaxemtv.com/2020/04/phat-trien-ban-than-giua-ai-dich-covid.html …"
2,"Quảng Bình, Quảng Trị chi bao nhiêu tiền mua máy xét nghiệm Covid-19?  https://tinviet360.com/index.php/2020/04/26/quang-binh-quang-tri-chi-bao-nhieu-tien-mua-may-xet-nghiem-covid-19/ … pic.twitter.com/Bmo2R1ZiKn"
3,"Li Tirkiyê hejmara mirî û haletên nû yên Covid-19 kêm bû... 

 #Tirkiye #coronavirus #Fahrettin_Koca #covid19 http://peyamakurd.org/kurmanci/Kurdistan/li-tirkiye-hejmara-miri-u-haleten-nu-yen-covid-19-kem-bu …"
4,"Li Tirkiyê hejmara mirî û haletên nû yên Covid-19 kêm bû... 

 #Tirkiye #coronavirus #Fahrettin_Koca #covid19
 http://peyamakurd.org/kurmanci/Kurdistan/li-tirkiye-hejmara-miri-u-haleten-nu-yen-covid-19-kem-bu … pic.twitter.com/s73m2vZylG"
5,Xô covid
6,Phòng dịch covid-19 _ Làm Bữa tiệc buffe trái cay hoành tráng tại phòng  https://youtu.be/3Un51vzEs-I  qua @YouTube
7,Trung Quốc bác bỏ yêu cầu điều tra nguồn gốc COVID-19  https://youtu.be/pDdJqYvZl5M  qua @YouTube
8,Tình hình dịch virus corona (Covid-19) ngày 24/4: liên tiếp 8 ngày Việt Nam không có ca mới  http://trumpathon.com/tinh-hinh-dich-virus-corona-covid-19-ngay-24-4-lien-tiep-8-ngay-viet-nam-khong-co-ca-moi/ …
9,Dịch vụ gần 1 triệu đồng/đêm cứu vãn hôn nhân ở Nhật mùa Covid-19  https://goodstock.vn/dich-vu-gan-1-trieu-dong-dem-cuu-van-hon-nhan-o-nhat-mua-covid-19/ … pic.twitter.com/S5CKmMNw9s
10,"Không cho tụ tập,cách ly dịch covid mà"
11,Ngũ Giác Đài phải chọn đơn vị ưu tiên thử nghiệm COVID-19 vì không đủ phương tiện y tế  https://www.nguoi-viet.com/hoa-ky/ngu-giac-dai-phai-chon-don-vi-uu-tien-thu-nghiem-covid-19-vi-khong-du-phuong-tien-y-te/ …
12,Người Mỹ đang dần nhận được các khoản trợ cấp tài chính để đối phó với đại dịch Covid-19. Nhiều người dùng khoản hỗ trợ này để mua súng và trò chơi điện tử. #vietnam https://www.youtube.com/watch?v=DS1qAQ87AJM …
13,3 ca mắc COVID-19 nặng nhất vẫn đang nguy kịch  https://vtc.vn/tin-tuc/3-ca-mac-covid-19-nang-nhat-van-dang-nguy-kich-ar542573.html …
14,Đến lượt CDC Lào Cai cũng ‘đi mượn’ máy xét nghiệm Covid-19 của doanh nghiệp  http://hoicodo.com/618549/den-luot-cdc-lao-cai-cung-di-muon-may-xet-nghiem-covid-19-cua-doanh-nghiep/ … pic.twitter.com/G1ddlqa6aH
15,Ngày thứ 10 không có ca mắc Covid-19 mới trong cộng đồng  https://goodstock.vn/ngay-thu-10-khong-co-ca-mac-covid-19-moi-trong-cong-dong/ … pic.twitter.com/hgQ0ixW7Ms
16,Việt Nam điều trị bệnh nhân Covid-19 nặng như thế nào?  http://dlvr.it/RVV72k  pic.twitter.com/7XOhcO8Ii4
17,COVID-19: Số người thiệt mạng ở Anh và Pháp vượt 20.000  https://vtc.vn/thoi-su-quoc-te/covid-19-so-nguoi-thiet-mang-o-anh-va-phap-vuot-20000-ar542442.html …
18,Mỹ phủ nhận thông tin thay Bộ trưởng Y tế giữa tâm bão COVID-19  https://vtc.vn/thoi-su-quoc-te/my-phu-nhan-thong-tin-thay-bo-truong-y-te-giua-tam-bao-covid-19-ar542494.html …
19,"Lo ngại lây nhiễm COVID-19, Italy thả nhiều trùm mafia  https://vtc.vn/thoi-su-quoc-te/lo-ngai-lay-nhiem-covid-19-italy-tha-nhieu-trum-mafia-ar542495.html …"
20,COVID-19: Người biểu tình đòi dỡ bỏ hàng rào ở biên giới Ba Lan và Đức  https://vtc.vn/thoi-su-quoc-te/covid-19-nguoi-bieu-tinh-doi-do-bo-hang-rao-o-bien-gioi-ba-lan-va-duc-ar542478.html …
21,"#KemChoTrump 
भारत मे सब बढ़ियाँ है, सब चंगा सी, IN INDIA EVERY THING IS FINE.
MY DEAR FRIEND PRESIDENT OF UNITED STATES OF AMERICA MR. DOLAAND TRUMP.

भारत मे COVID-19 के दो वजह।
1- #NamasteTrump 
2- #मध्य_प्रदेश मे सरकार का तोड़ जोड़।"
