,content
0,"Y tế quá tải, nhiều nước cầu viện bác sĩ Cuba giúp chống dịch Covid-19 - VTC News  https://vtc.vn/thoi-su-quoc-te/y-te-qua-tai-nhieu-nuoc-cau-vien-bac-si-cuba-giup-chong-dich-covid-19-ar538409.html …"
1,14 chặng đàng Thánh Giá trong đại dịch virus Covid–19  https://www.denmaxemtv.com/2020/04/14-chang-ang-thanh-gia-trong-ai-dich.html …
2,Dịch Covid-19: Nhật Bản dự kiến ban bố tình trạng khẩn cấp từ ngày mai - VTC News  https://vtc.vn/thoi-su-quoc-te/dich-covid-19-nhat-ban-du-kien-ban-bo-tinh-trang-khan-cap-tu-ngay-mai-ar538396.html …
3,Báo chí Indonesia ca ngợi biện pháp chống Covid-19 hiệu quả của Việt Nam - VTC News  https://vtc.vn/thoi-su-quoc-te/bao-chi-indonesia-ca-ngoi-bien-phap-chong-covid-19-hieu-qua-cua-viet-nam-ar538418.html …
4,6 lời khuyên cho các sàn giao dịch BĐS đang phải “gồng mình” chờ qua mùa dịch Covid-19  https://goodstock.vn/6-loi-khuyen-cho-cac-san-giao-dich-bds-dang-phai-gong-minh-cho-qua-mua-dich-covid-19/ … pic.twitter.com/16m8YI7ocj
5,"Our doctors are safe in jails without PPEs. Send your ministers to treat #Covid_19 patients at Hospitals. 
جب PPE انکو ھی دینی ھیں علاج کا ٹھیکہ بھی انکا۔ ورزئ پے !

#ProtectOurFrontliners
#ProtectDoctorsOfBalochistan"
6,Hàng trăm cầu thủ triệu phú tại Anh phản đối kế hoạch giảm lương vì dịch Covid-19  https://goodstock.vn/hang-tram-cau-thu-trieu-phu-tai-anh-phan-doi-ke-hoach-giam-luong-vi-dich-covid-19/ … pic.twitter.com/GYwhflqgw4
7,"6 lời khuyên cho các sàn giao dịch BĐS đang phải ""gồng mình"" chờ qua mùa dịch Covid-19
#giảmđaukinhtế #bđsviệtnam #giaod... https://www.bdscuatui.com/6-loi-khuyen-cho-cac-san-giao-dich-bds-dang-phai-gong-minh-cho-qua-mua-dich-covid-19-32086/?feed_id=17813&_unique_id=5e8b5cfe073bb …"
8,Thủ tướng chỉ đạo xử lý nghiêm hành vi vi phạm về phòng chống Covid-19  https://tinquangbinh.com/2020/04/976575/thu-tuong-chi-dao-xu-ly-nghiem-hanh-vi-vi-pham-ve-phong-chong-covid-19/ … pic.twitter.com/unqX5iWGE2
9,"ATM PHÁT GẠO MIỄN PHÍ
Tại Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam, Doanh nghiệp PHGLock đã đưa vào sử dụng một máy phát gạo tự động dành cho người dân có hoàn cảnh khó khăn được tự do đến nhận gạo từ ngày 6/4 đến khi dịch bệnh Covid kết thúc."
